Platz;Team;DWZ-Schnitt;Land;G;U;V;MP;SoBo;BP
34;SV „Glück auf“ Rüdersdorf 1;1071;Brandenburg ;4;0;3;8;77,5;13
35;USV Halle;754;Sachsen-Anhalt ;3;1;3;7;103,5;13
36;Lübecker SV 2;933;Schleswig-Holstein ;3;1;3;7;100;15,5
37;Schachpinguine Berlin 2;982;Berlin ;2;3;2;7;98;14
38;SK Neumarkt;965;Bayern ;3;1;3;7;95,5;14,5
39;SK Johanneum Eppendorf;851;Hamburg ;3;1;3;7;91;14,5
40;SG Turm Raesfeld/Erle 1;893;Nordrhein-Westfalen ;2;3;2;7;91;14
41;USV TU Dresden 2;786;Sachsen ;3;1;3;7;86,5;14,5
42;SV Turm Lahnstein;1027;Rheinland-Pfalz ;3;1;3;7;85;14
43;SK Blauer Springer Paderborn;932;Nordrhein-Westfalen ;3;1;3;7;85;13
44;Hamburger SK 2;852;Hamburg ;3;1;3;7;83;13
45;SK München Südost;1031;Bayern ;3;1;3;7;78,5;13
46;SV Königsjäger Süd-West;779;Berlin ;3;1;3;7;76,5;14
47;Muldental Wilkau-Haßlau 2;1017;Sachsen ;3;1;3;7;72;12,5
48;Schachpinguine Berlin 3;846;Berlin ;3;1;3;7;64,5;13
49;SV Dresden-Leuben;896;Sachsen ;3;0;4;6;83,5;17
50;SK Gau-Algesheim;824;Rheinland-Pfalz ;2;2;3;6;79,5;14,5
51;VfL Gräfenhainichen;905;Sachsen-Anhalt ;2;2;3;6;70;12
52;SC Turm Lüneburg;850;Niedersachsen ;2;2;3;6;69,5;11,5
53;TSV Kitzscher;1010;Sachsen ;2;2;3;6;67,5;12,5
54;Hamburger SK 4;739;Hamburg ;2;2;3;6;65;11
55;KSV Rochade Göttingen;748;Niedersachsen ;3;0;4;6;63,5;11
56;BSG Grün-Weiß Leipzig 2;859;Sachsen ;3;0;4;6;59,5;11
57;Lübecker SV 3;853;Schleswig-Holstein ;3;0;4;6;56;12
58;SF Schwerin;784;Mecklenburg-Vorpommern ;3;0;4;6;55,5;13
59;SV Empor Erfurt 2;849;Thüringen ;2;2;3;6;43,5;10,5
60;SK Kerpen;902;Nordrhein-Westfalen ;2;1;4;5;77;14
61;SF Hettstedt;1024;Sachsen-Anhalt ;2;1;4;5;73;13,5
62;SG Königskinder Hohentübingen;953;Württemberg ;2;1;4;5;66;10,5
63;Peiner SV;749;Niedersachsen ;2;1;4;5;62,5;12
64;SK Münster;860;Nordrhein-Westfalen ;2;1;4;5;61;11,5
65;SV Hemer;893;Nordrhein-Westfalen ;2;1;4;5;54,5;9,5
66;SG Blau-Weiß Stadtilm;830;Thüringen ;1;3;3;5;54;10,5
67;Schachzwerge Magdeburg 2;858;Sachsen-Anhalt ;2;1;4;5;53,5;13,5
68;SC Vaterstetten;958;Bayern ;2;1;4;5;49,5;10,5
69;SF Nordost Berlin 2;747;Berlin ;2;1;4;5;47,5;11
70;SV „Glück auf“ Rüdersdorf 2;764;Brandenburg ;1;3;3;5;41;10
71;SV Mattnetz Berlin;867;Berlin ;2;0;5;4;47,5;10,5
72;USC Magdeburg 1;904;Sachsen-Anhalt ;1;2;4;4;47;10
73;Schachfüchse Kempen;720;Nordrhein-Westfalen ;1;2;4;4;44;10
74;Hamburger SK 3;810;Hamburg ;1;2;4;4;41;9
75;SV Schachfreunde Friedrichshagen;764;Berlin ;1;2;4;4;37;8,5
76;TSG Oberschöneweide 2;695;Berlin ;1;1;5;3;31,5;8,5
77;USC Magdeburg 2;705;Sachsen-Anhalt ;1;1;5;3;29,5;7
78;SG Niederkassel;739;Nordrhein-Westfalen ;1;0;6;2;30,5;6,5
79;SG Turm Raesfeld/Erle 2;757;Nordrhein-Westfalen ;1;0;6;2;28;8
80;SF Essen-Werden;711;Nordrhein-Westfalen ;1;0;6;2;26;9
