Platz;Team;DWZ-Schnitt;Land;G;U;V;MP;SoBo;BP
1;USV TU Dresden 1;1298;Sachsen ;6;0;1;12;188;21
2;SC Borussia 1920 Friedrichsfelde;1500;Berlin ;6;0;1;12;186;20
3;SV Empor Berlin 1;1343;Berlin ;5;1;1;11;188,5;21,5
4;SF Brackel;1268;Nordrhein-Westfalen ;5;1;1;11;140,5;16,5
5;Schachpinguine Berlin 1;1399;Berlin ;4;2;1;10;167;19,5
6;SC Kreuzberg;1259;Berlin ;5;0;2;10;162;20,5
7;BSG Grün-Weiß Leipzig 1;1287;Sachsen ;5;0;2;10;148;19,5
8;Düsseldorfer SV;1196;Nordrhein-Westfalen ;4;2;1;10;138;16,5
9;Hamburger SK 1;1228;Hamburg ;4;2;1;10;136,5;18
10;DJK Aufwärts St. Josef Aachen;1242;Nordrhein-Westfalen ;4;2;1;10;133;17,5
11;SK Lehrte;1118;Niedersachsen ;4;2;1;10;105,5;16
12;SV Roter Turm Halle 1;1276;Sachsen-Anhalt ;3;3;1;9;175,5;18
13;Karlsruher SF 1;1410;Baden ;4;1;2;9;169,5;16,5
14;Hagener SV;1150;Niedersachsen ;3;3;1;9;129;17
15;TSG Oberschöneweide 1;946;Berlin ;4;1;2;9;126;16,5
16;Stader SV;1111;Niedersachsen ;3;3;1;9;118,5;16
17;SC Erlangen;1123;Bayern ;4;1;2;9;118;17
18;Karlsruher SF 2;1031;Baden ;3;3;1;9;114;16
19;VSG 1880 Offenbach;910;Hessen ;4;1;2;9;99;15,5
20;Schachzwerge Magdeburg 1;1016;Sachsen-Anhalt ;4;1;2;9;90;15,5
21;TuS Coswig;1016;Sachsen ;4;0;3;8;140,5;19
22;Leegebrucher SF;997;Brandenburg ;4;0;3;8;129,5;18
23;Muldental Wilkau-Haßlau 1;1394;Sachsen ;4;0;3;8;122,5;15
24;Schachzentrum Bemerode 2;829;Niedersachsen ;3;2;2;8;121;14,5
25;TuRa Harksheide Norderstedt;1005;Schleswig-Holstein ;4;0;3;8;118,5;18,5
26;Schachzentrum Bemerode 1;1046;Niedersachsen ;3;2;2;8;113;16,5
27;SV Empor Berlin 2;918;Berlin ;3;2;2;8;112,5;14,5
28;SV Roter Turm Halle 2;1029;Sachsen-Anhalt ;4;0;3;8;111;18
29;SV Empor Erfurt 1;1145;Thüringen ;4;0;3;8;106,5;14,5
30;SF Nordost Berlin 1;812;Berlin ;4;0;3;8;105;15,5
31;Lübecker SV 1;1034;Schleswig-Holstein ;2;4;1;8;97;15
32;DJK Arminia Eilendorf;1009;Nordrhein-Westfalen ;3;2;2;8;94;15
33;SV Multatuli Ingelheim;947;Rheinland-Pfalz ;3;2;2;8;87;15,5
